train,val
"[0.3068305929319574, 0.21708163892457244, 0.2160034490014435, 0.21422050032046958, 0.21310211902638093, 0.21171900964931611, 0.21033786155215098, 0.21013166256454013, 0.20922531775378306, 0.20892210427774202]","[0.22661841863935644, 0.22610119797966696, 0.22583803940903058, 0.22637574103745547, 0.2263885343616659, 0.22753014212304895, 0.22871477901935577, 0.2296838475899263, 0.23039225150238385, 0.23074066774411636]"
"[0.20901100023077168, 0.20877057040503266, 0.20876981058251967, 0.20868838270869824, 0.2077932210143553, 0.20822322505329727, 0.20808909737735715, 0.20777731600704544, 0.20777083591583673, 0.2079594337612117]","[0.23074896227229724, 0.23074264553460208, 0.23183353651653638, 0.23134349963881753, 0.23251416060057553, 0.23146269402720712, 0.23120602829889816, 0.23223190957849676, 0.23180558464743875, 0.23204811459237878]"
"[0.20771464582430113, 0.2080546979783872, 0.207741841673851, 0.20791022999024172, 0.20780723042991184, 0.2071456337740662, 0.2071468718008164, 0.2068934925925841, 0.2068808659774448, 0.2066560991860311]","[0.23164638876914978, 0.23145395788279446, 0.23161903565580194, 0.2314941341226751, 0.2321130335330963, 0.23220024867491287, 0.2318095307458531, 0.23269882662729782, 0.23243949088183316, 0.23276364396918903]"
"[0.20740928398359806, 0.20708973446023574, 0.20700790794617538, 0.2065565918290287, 0.2071964605412352, 0.20646018418697043, 0.20674468645262062, 0.20652495748406158, 0.20629702522120344, 0.20654912607385478]","[0.23190306533466687, 0.2323660891164433, 0.23233270645141602, 0.23283575475215912, 0.2326535392891277, 0.23275895416736603, 0.23270022598179904, 0.23296946016224948, 0.233229783448306, 0.23308158191767606]"
"[0.20680084058997827, 0.20691410841744975, 0.20616705551606798, 0.2061306972295866, 0.20632654387469684, 0.2060700888754031, 0.20571189763349132, 0.20615092138631627, 0.20562296723007062, 0.2058895254900696]","[0.23319513418457724, 0.23261653157797726, 0.23296721279621124, 0.23361241952939468, 0.23340943997556513, 0.2333286228505048, 0.2340156612071124, 0.2337287569587881, 0.23361335694789886, 0.23381769928065213]"
"[0.20668639912517792, 0.20614381736024803, 0.20582095472090836, 0.20551104734250164, 0.20566717678800636, 0.20562230091576184, 0.20565221793607835, 0.20566482513869574, 0.20545531112119692, 0.2051827906195177]","[0.23340070924975656, 0.2334953180768273, 0.233456476168199, 0.23342635279352014, 0.23332045024091547, 0.23389871553941208, 0.23374160853299228, 0.23440969667651437, 0.23422232405705887, 0.23445945978164673]"
"[0.2056420951261433, 0.20592012646001415, 0.20570797329648918, 0.20510769683286684, 0.20506739548040093, 0.20485301814768292, 0.20539542567839317, 0.2050202162167348, 0.2043860841781721, 0.2044308870483976]","[0.2343813655051318, 0.23352224176580255, 0.23462328721176495, 0.2345079549334266, 0.23434373465451327, 0.2341625148599798, 0.2338436557488008, 0.23423741622404617, 0.23434367911382156, 0.23515149680050937]"
"[0.2051680875480722, 0.20464640390982322, 0.20457072439817114, 0.2041287880835183, 0.20423900835010983, 0.20451307344600694, 0.20430518686771393, 0.20381031807409514, 0.2043635980525148, 0.20368652291800998]","[0.23429623517123135, 0.23441017215902155, 0.2345591431314295, 0.2348552183671431, 0.2352828004143455, 0.23566527122801, 0.23468364097855307, 0.23551740023222836, 0.2356275198134509, 0.23518535630269485]"
"[0.20415611900047426, 0.20407063561841982, 0.20441041285291725, 0.20396919739902566, 0.2037964023034507, 0.20353297075820626, 0.20366121213370508, 0.20353283780977266, 0.20332578822560265, 0.20303040852240467]","[0.23499432477084073, 0.2354270572012121, 0.23570832339200107, 0.23524511402303522, 0.2358450158075853, 0.23518228666348892, 0.23614519834518433, 0.23660555210980502, 0.23570240221240304, 0.23576405102556403]"
"[0.20400909327585762, 0.2035203630771112, 0.20364035816367612, 0.20337076512498592, 0.2033453552274529, 0.20293935586553102, 0.20340384242184664, 0.20309199912285586, 0.20268590304009412, 0.2029173010533009]","[0.2349997122179378, 0.2355871552770788, 0.23596589809114282, 0.2360731309110468, 0.23586674711921, 0.23549768870527094, 0.23619001426480032, 0.23676558922637592, 0.23625576225194064, 0.2370158244263042]"
"[0.2041672498261163, 0.20346617302216521, 0.20365246255463415, 0.20304387575442637, 0.20312690167525493, 0.2028610871745906, 0.20254653405158893, 0.20297345662609154, 0.2026598558786812, 0.20262904629248]","[0.23610247400673953, 0.23611199043013834, 0.2363377267664129, 0.2362805171446367, 0.23671577599915591, 0.2368431646715511, 0.23661383444612677, 0.23709359494122592, 0.23688325421376663, 0.2371652600440112]"
"[0.20311271898243405, 0.20344669501715845, 0.20319672995204224, 0.2028084580504566, 0.20269210951043926, 0.2029050808023969, 0.2027656453738519, 0.2025777786423307, 0.2026565822712872, 0.2023767703853616]","[0.23647556521675803, 0.23648022657090967, 0.236969303001057, 0.23713965172117407, 0.23650344528935172, 0.2368435805494135, 0.23722818900238385, 0.23722539977593857, 0.23742735521359878, 0.23746123774485153]"
"[0.20355587015184787, 0.20278662825943133, 0.20283453439900634, 0.20224945158313173, 0.20227510488908226, 0.2022040109021948, 0.2026372244325253, 0.20239922404289246, 0.20193112388663337, 0.20203098258294097]","[0.23694209348071704, 0.23743266273628583, 0.23679112846201117, 0.2367239770564166, 0.23641468990932812, 0.2374474433335391, 0.23798296803777869, 0.2380138716914437, 0.23673107407309793, 0.23747504299337213]"
"[0.2028637267307404, 0.20258213497629954, 0.20248137346101464, 0.20240580331568325, 0.202067402046208, 0.202179321865423, 0.20279234702434015, 0.20195649099459342, 0.2021712694966465, 0.2022493276574196]","[0.23753412880680777, 0.2380368560552597, 0.23669522458856757, 0.2375018989497965, 0.23711141537536273, 0.23684524135156113, 0.2375722134655172, 0.23690204999663614, 0.23758193037726663, 0.23858423801985654]"
"[0.20280761962090063, 0.20297788206590425, 0.20230849305970952, 0.2024560588488885, 0.20204095077624015, 0.20222554622440164, 0.20236656794307428, 0.2018445504641314, 0.20213756594089194, 0.20191947363932197]","[0.23723977939649063, 0.23726106773723254, 0.2373141646385193, 0.23749878867106003, 0.23793542656031522, 0.2375744811513207, 0.23887783830816095, 0.237470190633427, 0.23851477016102185, 0.2367286573756825]"
